Devices
1000
,,Imported AMTI OR6 Series Force Plate #1 - Force,,,Imported AMTI OR6 Series Force Plate #1 - Moment,,,Imported AMTI OR6 Series Force Plate #1 - CoP,,,Imported AMTI OR6 Series Force Plate #2 - Force,,,Imported AMTI OR6 Series Force Plate #2 - Moment,,,Imported AMTI OR6 Series Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
36,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
36,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
37,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
37,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
37,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
37,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
37,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
38,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
38,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
38,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
38,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
38,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
39,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
39,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
39,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
39,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
39,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
40,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
40,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
40,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
40,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
40,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
41,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
41,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
41,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
41,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
41,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
42,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
42,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
42,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
42,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
42,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
43,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
43,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
43,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
43,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
43,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
44,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
44,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
44,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
44,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
44,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
45,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
45,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
45,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
45,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
45,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
46,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
46,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
46,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
46,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
46,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
47,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
47,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
47,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
47,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
47,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
48,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
48,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
48,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
48,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
48,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
49,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
49,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
49,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
49,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
49,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
50,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
50,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
50,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
50,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
50,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
51,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
51,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
51,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
51,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
51,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
52,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
52,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
52,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
52,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
52,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
53,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
53,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
53,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
53,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
53,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
54,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
54,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
54,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
54,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
54,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
55,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
55,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
55,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
55,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
55,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
56,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
56,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
56,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
56,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
56,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
57,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
57,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
57,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
57,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
57,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
58,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
58,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
58,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
58,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
58,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
59,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
59,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
59,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
59,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
59,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
60,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
60,1,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
60,2,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
60,3,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
60,4,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
61,0,0,0,0,0,0,0,0,-450,0,0,0,0,0,0,0,0,20,0
